Date,Open,High,Low,Close,Adj Close,Volume
2018/9/12,7493.379883,7501.240234,7422.910156,7488.060059,7488.060059,2341850000
2018/9/11,7415.089844,7519.450195,7401.720215,7507.870117,7507.870117,2336600000
2018/9/10,7466.759766,7473.75,7410.740234,7447.680176,7447.680176,2041450000
2018/9/7,7402.189941,7489.399902,7400.990234,7430.259766,7430.259766,2146380000
2018/9/6,7527.220215,7532.299805,7405.319824,7453.169922,7453.169922,2368680000
2018/9/5,7600.950195,7607.180176,7498.379883,7523.259766,7523.259766,2596780000
2018/9/4,7629.339844,7643.450195,7581.350098,7622.319824,7622.319824,2229520000
2018/8/31,7634.439941,7676.459961,7628.540039,7654.549805,7654.549805,1899910000
2018/8/30,7645.109863,7691.100098,7619.72998,7642.669922,7642.669922,2014450000
2018/8/29,7585.129883,7661.950195,7583.52002,7660.180176,7660.180176,1897000000
2018/8/28,7580.850098,7588.720215,7556.709961,7570.25,7570.25,1961300000
2018/8/27,7527.370117,7560.759766,7512.02002,7559.129883,7559.129883,2319130000
2018/8/24,7443.709961,7489.540039,7442.990234,7485.399902,7485.399902,1886600000
2018/8/23,7420.310059,7465.870117,7405.399902,7413.839844,7413.839844,1879890000
2018/8/22,7379.839844,7434.47998,7374.689941,7424.600098,7424.600098,1660460000
2018/8/21,7393.459961,7441.419922,7388.370117,7397.22998,7397.22998,1766630000
2018/8/20,7393.580078,7395.75,7343.470215,7371.419922,7371.419922,1698970000
2018/8/17,7352.629883,7394.939941,7312.649902,7377.540039,7377.540039,1843150000
2018/8/16,7409.609863,7422.830078,7361.879883,7374.290039,7374.290039,1979540000
2018/8/15,7385.669922,7409.47998,7308.52002,7354.660156,7354.660156,2286960000
2018/8/14,7430.450195,7455.419922,7390,7447.169922,7447.169922,1917360000
2018/8/13,7420.180176,7468.819824,7398.529785,7401.169922,7401.169922,1914240000
2018/8/10,7409.049805,7436.689941,7382.830078,7408.299805,7408.299805,2095180000
2018/8/9,7467.509766,7498.370117,7458.569824,7466.959961,7466.959961,2032950000
2018/8/8,7454.419922,7486.209961,7435.77002,7469.549805,7469.549805,2087850000
2018/8/7,7459.319824,7478.959961,7443.879883,7462.649902,7462.649902,2197590000
2018/8/6,7390.819824,7439.549805,7381.580078,7438.990234,7438.990234,2238170000
2018/8/3,7389.359863,7395.490234,7356.330078,7395.490234,7395.490234,2018700000
2018/8/2,7221.350098,7380.560059,7221.350098,7372.149902,7372.149902,2081300000
2018/8/1,7269.200195,7294.799805,7234.640137,7272.890137,7272.890137,2223550000
2018/7/31,7219.669922,7272.959961,7179.410156,7231.97998,7231.97998,2195050000
2018/7/30,7292.720215,7299.080078,7158.779785,7193.100098,7193.100098,2143410000
2018/7/27,7443.240234,7443.240234,7255.319824,7296.779785,7296.779785,2176170000
2018/7/26,7404.560059,7430.120117,7385.720215,7400.75,7400.75,2213070000
2018/7/25,7406.100098,7511.390137,7405.640137,7508.589844,7508.589844,1899790000
2018/7/24,7455.509766,7475.990234,7375.740234,7406.25,7406.25,2014850000
2018/7/23,7335.419922,7376.819824,7301.339844,7371.779785,7371.779785,1654290000
2018/7/20,7379.129883,7398.589844,7343.370117,7350.22998,7350.22998,1786250000
2018/7/19,7364.660156,7388.990234,7344.330078,7352.359863,7352.359863,1853030000
2018/7/18,7407.25,7411.25,7368.359863,7390.129883,7390.129883,1857670000
2018/7/17,7291.47998,7418.430176,7288.299805,7403.890137,7403.890137,1740680000
2018/7/16,7381.029785,7390.640137,7346.339844,7357.899902,7357.899902,1730190000
2018/7/13,7372.279785,7387.740234,7348.959961,7375.819824,7375.819824,1714140000
2018/7/12,7276.379883,7368.720215,7274.160156,7366.25,7366.25,1926110000
2018/7/11,7221.660156,7271.120117,7220.22998,7243.97998,7243.97998,1761420000
2018/7/10,7287.049805,7297.790039,7257.490234,7282.600098,7282.600098,1725210000
2018/7/9,7251.180176,7277.580078,7221.319824,7276,7276,1837330000
2018/7/6,7114.169922,7217,7106.100098,7207.330078,7207.330078,1704580000
2018/7/5,7064,7105.540039,7025.25,7101.049805,7101.049805,1745030000
2018/7/3,7121.709961,7122.450195,7009.509766,7014.549805,7014.549805,1179310000
2018/7/2,6979.540039,7099.27002,6969.160156,7097.819824,7097.819824,1767910000
2018/6/29,7071.490234,7101.830078,7031.399902,7040.799805,7040.799805,2192010000
2018/6/28,6963.370117,7055.25,6950.22998,7031.600098,7031.600098,2195400000
2018/6/27,7096.600098,7128.77002,6968.299805,6969.669922,6969.669922,2286430000
2018/6/26,7061.22998,7108.450195,7040.060059,7068.200195,7068.200195,2058640000
2018/6/25,7131.049805,7144.290039,6976.959961,7038.169922,7038.169922,2415090000
2018/6/22,7239.720215,7239.75,7177.459961,7197.509766,7197.509766,3928340000
2018/6/21,7304.049805,7308.259766,7203.930176,7217.490234,7217.490234,2315880000
2018/6/20,7264.850098,7309.990234,7256.870117,7280.700195,7280.700195,2305100000
2018/6/19,7158.799805,7229.990234,7138.02002,7228.040039,7228.040039,2269000000
2018/6/18,7201.180176,7256.430176,7186.160156,7251.410156,7251.410156,2093950000
2018/6/15,7245.160156,7268.839844,7220.970215,7255.759766,7255.759766,3043790000
2018/6/14,7233.700195,7291.310059,7233.700195,7279.589844,7279.589844,2188230000
2018/6/13,7219.580078,7261.169922,7193.02002,7205.259766,7205.259766,2172770000
2018/6/12,7181.669922,7214.490234,7173.759766,7209.180176,7209.180176,2006760000
2018/6/11,7149.649902,7187.450195,7146.089844,7168.47998,7168.47998,1942940000
2018/6/8,7121.759766,7161.919922,7100.72998,7152.620117,7152.620117,1941580000
2018/6/7,7212.430176,7212.430176,7115.859863,7152.830078,7152.830078,2328280000
2018/6/6,7180.240234,7212.450195,7140.919922,7210.080078,7210.080078,2191750000
2018/6/5,7162.410156,7179.819824,7137.129883,7166.75,7166.75,2058630000
2018/6/4,7099.5,7146.77002,7099.089844,7143.569824,7143.569824,2142790000
2018/6/1,7010.080078,7084.839844,7008.02002,7083.930176,7083.930176,2208600000
2018/5/31,6969.930176,7016.419922,6955.990234,6967.72998,6967.72998,2514610000
2018/5/30,6955.589844,6987.629883,6938.02002,6976.370117,6976.370117,2049450000
